number_employment_days,Designation,promotion,Increment,business_value_index
32,1,0,0,0.0
1459,1,0,0,3402.56
908,1,0,0,2942.51
92,1,0,0,0.0
1616,2,1,0,4107.51
181,1,0,0,3592.71
95,3,0,0,0.0
95,1,0,0,0.0
242,1,0,0,0.0
23,1,0,0,0.0
124,3,0,0,3225.81
163,1,0,0,2113.62
291,1,0,0,6143.47
353,1,0,0,4432.15
91,1,0,0,1290.99
57,2,0,0,3804.39
1285,2,0,0,0.0
193,1,0,0,4163.58
520,2,0,0,14293.54
253,1,0,0,7825.14
1487,4,3,0,10498.35
379,5,0,0,308.55
188,2,0,0,8721.49
332,2,0,0,9230.69
176,1,0,0,4679.55
1845,3,2,0,2707.36
447,1,0,0,787.81
87,3,0,0,0.0
164,1,0,0,16481.4
71,1,0,0,0.0
605,3,2,0,81261.39
47,2,0,0,0.0
704,1,0,0,4529.87
123,2,0,0,5933.66
1317,2,1,0,8596.0
27,1,0,0,4976.3
64,3,0,0,0.0
209,2,0,0,4051.63
901,2,0,0,838.2
501,1,0,0,7304.31
291,1,0,0,2807.18
418,1,0,0,0.0
1623,3,2,0,3485.48
41,1,0,0,0.0
266,1,0,0,1798.35
30,2,0,0,0.0
471,1,0,0,31697.3
4,3,0,0,0.0
146,2,0,0,6465.82
485,2,0,0,1777.57
561,2,0,0,16225.76
207,1,0,0,5150.1
1609,2,1,0,4616.63
47,2,0,0,0.0
81,1,0,0,0.0
222,1,0,0,0.0
608,1,0,0,7575.79
110,1,0,0,2464.73
1522,3,1,0,9416.88
122,2,0,0,-20.9
1492,4,3,0,6892.37
33,1,0,0,0.0
96,3,0,0,5087.6
1602,2,1,0,2862.41
481,1,0,0,10422.83
265,2,0,0,9905.55
29,2,0,0,0.0
600,1,0,0,10134.0
1006,2,1,0,1764.03
75,1,0,0,0.0
66,1,0,0,0.0
1832,4,2,0,7918.11
431,1,0,0,2678.93
349,2,0,0,2350.49
263,1,0,0,2722.97
93,1,0,0,0.0
26,3,0,0,0.0
1051,2,1,0,2914.38
121,2,0,0,0.0
739,2,1,0,0.0
885,1,0,0,2623.65
1047,1,0,0,291.97
419,2,0,0,6190.95
542,1,0,0,11022.42
